user_id,signup_date,platform,acquisition_channel,country,plan
100186,2026-09-01,Mobile,Organic,UK,Free
100187,2026-07-25,Desktop,Content,US,Pro Trial
100188,2026-09-06,Desktop,Content,UK,Free
100189,2026-07-08,Mobile,Referral,India,Free
100190,2026-08-19,Desktop,Organic,India,Free
100191,2026-08-02,Desktop,Paid Search,Canada,Free
100192,2026-08-03,Desktop,Organic,Canada,Free
100193,2026-09-07,Mobile,Organic,India,Pro Trial
100194,2026-08-31,Mobile,Paid Social,US,Free
100195,2026-08-13,Desktop,Organic,India,Free
100196,2026-07-17,Mobile,Organic,India,Free
100197,2026-07-27,Desktop,Paid Search,India,Pro Trial
100198,2026-07-09,Mobile,Paid Social,India,Free
100199,2026-08-22,Mobile,Paid Social,US,Free
100200,2026-07-23,Mobile,Organic,US,Free
100201,2026-08-26,Mobile,Paid Search,India,Pro Trial
100202,2026-08-23,Mobile,Paid Social,India,Free
100203,2026-08-04,Desktop,Organic,Australia,Free
100204,2026-07-13,Desktop,Organic,India,Free
100205,2026-07-05,Mobile,Organic,Australia,Free
100206,2026-08-14,Desktop,Referral,India,Free
100207,2026-08-25,Mobile,Paid Social,Australia,Free
100208,2026-07-21,Desktop,Organic,India,Free
100209,2026-08-13,Mobile,Paid Social,UK,Free
100210,2026-08-19,Mobile,Paid Search,India,Free
100211,2026-07-19,Mobile,Organic,India,Free
100212,2026-08-26,Mobile,Referral,UK,Free
100213,2026-07-22,Desktop,Paid Social,US,Free
100214,2026-08-20,Mobile,Organic,India,Pro Trial
100215,2026-07-23,Mobile,Referral,India,Free
100216,2026-07-19,Mobile,Paid Social,India,Pro Trial
100217,2026-07-06,Mobile,Paid Search,Australia,Free
100218,2026-07-06,Mobile,Paid Search,US,Free
100219,2026-07-30,Mobile,Paid Social,US,Free
100220,2026-07-17,Mobile,Content,India,Free
100221,2026-08-12,Mobile,Paid Social,India,Free
100222,2026-08-16,Desktop,Paid Social,India,Pro Trial
100223,2026-09-07,Desktop,Organic,India,Free
100224,2026-09-05,Mobile,Organic,US,Free
100225,2026-07-13,Mobile,Paid Social,India,Pro Trial
100226,2026-08-24,Mobile,Referral,Canada,Pro Trial
100227,2026-08-25,Mobile,Content,UK,Free
100228,2026-07-17,Mobile,Paid Search,India,Free
100229,2026-07-06,Desktop,Paid Search,US,Pro Trial
100230,2026-08-14,Desktop,Organic,India,Free
100231,2026-08-25,Desktop,Paid Social,India,Pro Trial
100232,2026-08-09,Mobile,Paid Search,India,Pro Trial
100233,2026-09-01,Desktop,Organic,US,Free
100234,2026-07-03,Mobile,Referral,US,Pro Trial
100235,2026-08-07,Mobile,Organic,US,Pro Trial
100236,2026-08-16,Mobile,Referral,India,Free
100237,2026-07-10,Desktop,Organic,UK,Free
100238,2026-08-05,Mobile,Organic,India,Free
100239,2026-07-16,Mobile,Content,India,Free
100240,2026-07-21,Desktop,Referral,India,Free
100241,2026-08-02,Mobile,Referral,India,Free
100242,2026-07-22,Mobile,Organic,India,Free
100243,2026-07-01,Desktop,Paid Social,India,Free
100244,2026-08-03,Mobile,Paid Search,UK,Free
100245,2026-07-22,Desktop,Organic,India,Free
100246,2026-09-05,Mobile,Paid Search,Australia,Free
100247,2026-07-12,Mobile,Organic,US,Free
100248,2026-08-17,Desktop,Referral,UK,Free
100249,2026-07-12,Mobile,Organic,Canada,Free
100250,2026-08-06,Desktop,Referral,India,Free
100251,2026-08-13,Mobile,Organic,India,Free
100252,2026-08-23,Mobile,Paid Social,India,Pro Trial
100253,2026-07-08,Desktop,Paid Social,UK,Pro Trial
100254,2026-07-22,Desktop,Organic,India,Pro Trial
100255,2026-07-20,Mobile,Organic,US,Free
100256,2026-08-15,Desktop,Paid Search,India,Pro Trial
100257,2026-08-20,Desktop,Content,India,Free
100258,2026-08-03,Desktop,Organic,India,Free
100259,2026-07-09,Desktop,Paid Social,India,Free
100260,2026-07-19,Desktop,Paid Social,Australia,Free
100261,2026-08-29,Mobile,Paid Social,India,Free
100262,2026-07-01,Desktop,Paid Social,India,Free
100263,2026-07-14,Mobile,Paid Social,UK,Free
100264,2026-07-25,Desktop,Organic,US,Free
100265,2026-07-13,Mobile,Content,India,Free
100266,2026-08-19,Mobile,Referral,US,Pro Trial
100267,2026-09-06,Desktop,Organic,India,Free
100268,2026-07-02,Mobile,Referral,India,Free
100269,2026-08-07,Desktop,Organic,India,Free
100270,2026-08-07,Mobile,Organic,Australia,Free
100271,2026-08-24,Mobile,Paid Social,India,Free
100272,2026-08-13,Mobile,Referral,India,Free
100273,2026-08-20,Mobile,Paid Search,Canada,Free
100274,2026-09-05,Mobile,Paid Search,India,Free
100275,2026-07-09,Mobile,Paid Social,India,Free
100276,2026-09-01,Desktop,Content,US,Free
100277,2026-08-27,Mobile,Organic,Australia,Free
100278,2026-08-18,Mobile,Referral,India,Free
100279,2026-08-02,Mobile,Paid Social,US,Free
100280,2026-09-05,Mobile,Organic,India,Free
100281,2026-07-23,Mobile,Organic,India,Pro Trial
100282,2026-09-06,Desktop,Organic,India,Free
100283,2026-08-11,Mobile,Paid Search,India,Pro Trial
100284,2026-07-29,Mobile,Organic,India,Pro Trial
100285,2026-08-23,Mobile,Referral,India,Pro Trial
100286,2026-08-15,Desktop,Organic,UK,Pro Trial
100287,2026-08-11,Desktop,Paid Social,Canada,Free
100288,2026-08-06,Mobile,Organic,India,Free
100289,2026-08-10,Mobile,Organic,India,Free
100290,2026-07-13,Mobile,Organic,US,Pro Trial
100291,2026-08-06,Mobile,Referral,India,Free
100292,2026-08-29,Mobile,Paid Social,Canada,Free
100293,2026-07-04,Mobile,Paid Search,India,Free
100294,2026-08-07,Mobile,Referral,UK,Free
100295,2026-08-16,Mobile,Organic,India,Free
100296,2026-07-15,Desktop,Paid Search,India,Free
100297,2026-07-20,Mobile,Organic,US,Free
100298,2026-08-20,Mobile,Organic,India,Free
100299,2026-08-07,Mobile,Paid Social,Canada,Free
100300,2026-08-27,Desktop,Referral,India,Free
100301,2026-07-12,Mobile,Referral,UK,Pro Trial
100302,2026-07-27,Desktop,Paid Social,Canada,Free
100303,2026-08-04,Mobile,Referral,India,Free
100304,2026-08-11,Mobile,Paid Search,US,Free
100305,2026-08-04,Mobile,Referral,India,Free
100306,2026-09-02,Mobile,Organic,Canada,Free
100307,2026-09-07,Desktop,Content,India,Free
100308,2026-09-06,Mobile,Paid Search,India,Pro Trial
100309,2026-07-05,Desktop,Organic,US,Pro Trial
100310,2026-07-08,Mobile,Organic,India,Free
100311,2026-08-28,Mobile,Referral,India,Pro Trial
100312,2026-07-03,Desktop,Referral,India,Free
100313,2026-08-09,Desktop,Paid Search,US,Free
100314,2026-08-26,Mobile,Paid Social,India,Pro Trial
100315,2026-07-05,Mobile,Paid Social,US,Free
100316,2026-07-01,Desktop,Content,India,Pro Trial
100317,2026-08-22,Desktop,Organic,India,Free
100318,2026-07-21,Desktop,Organic,India,Free
100319,2026-08-01,Mobile,Content,US,Pro Trial
100320,2026-08-19,Mobile,Paid Social,UK,Free
100321,2026-07-23,Desktop,Paid Social,Canada,Free
100322,2026-07-31,Mobile,Referral,India,Free
100323,2026-09-03,Desktop,Organic,India,Free
100324,2026-08-04,Mobile,Paid Social,India,Free
100325,2026-07-21,Mobile,Organic,US,Free
100326,2026-07-18,Mobile,Organic,US,Free
100327,2026-07-11,Desktop,Paid Social,UK,Pro Trial
100328,2026-07-01,Mobile,Organic,US,Pro Trial
100329,2026-07-01,Mobile,Referral,India,Free
100330,2026-08-05,Mobile,Organic,India,Free
100331,2026-07-29,Desktop,Organic,India,Free
100332,2026-08-11,Mobile,Referral,India,Free
100333,2026-08-05,Mobile,Content,India,Free
100334,2026-08-15,Mobile,Organic,Canada,Free
100335,2026-08-30,Desktop,Paid Search,US,Free
100336,2026-07-12,Desktop,Referral,US,Pro Trial
100337,2026-07-12,Mobile,Paid Social,India,Free
100338,2026-07-23,Desktop,Paid Search,Canada,Free
100339,2026-07-29,Mobile,Paid Social,US,Free
100340,2026-08-06,Mobile,Paid Social,Australia,Free
100341,2026-09-05,Mobile,Referral,US,Free
100342,2026-08-24,Mobile,Paid Search,India,Free
100343,2026-08-12,Mobile,Paid Social,Australia,Free
100344,2026-07-09,Desktop,Organic,US,Free
100345,2026-08-08,Mobile,Organic,Canada,Free
100346,2026-07-18,Mobile,Paid Search,India,Pro Trial
100347,2026-07-17,Mobile,Organic,India,Free
100348,2026-08-26,Desktop,Referral,US,Free
100349,2026-07-05,Desktop,Paid Social,India,Pro Trial
100350,2026-08-16,Desktop,Referral,UK,Free
100351,2026-09-06,Mobile,Content,India,Pro Trial
100352,2026-08-16,Mobile,Referral,Canada,Free
100353,2026-07-29,Mobile,Content,UK,Free
100354,2026-08-14,Desktop,Organic,Canada,Free
100355,2026-08-06,Mobile,Paid Social,Australia,Free
100356,2026-08-01,Mobile,Organic,US,Pro Trial
100357,2026-08-18,Mobile,Content,India,Free
100358,2026-08-10,Desktop,Organic,Canada,Free
100359,2026-07-22,Mobile,Organic,US,Free
100360,2026-08-29,Desktop,Content,US,Free
100361,2026-09-03,Mobile,Paid Search,Canada,Free
100362,2026-07-29,Desktop,Paid Search,US,Free
100363,2026-07-08,Desktop,Paid Social,Australia,Free
100364,2026-08-13,Mobile,Paid Search,India,Free
100365,2026-07-06,Desktop,Referral,India,Free
100366,2026-09-04,Mobile,Paid Search,US,Free
100367,2026-08-22,Mobile,Organic,Australia,Pro Trial
100368,2026-07-22,Mobile,Paid Social,US,Free
100369,2026-08-07,Mobile,Paid Search,Canada,Free
100370,2026-07-26,Desktop,Content,US,Free
100371,2026-09-07,Mobile,Paid Search,India,Pro Trial
100372,2026-07-30,Mobile,Paid Search,US,Free
100373,2026-07-23,Mobile,Organic,India,Free
100374,2026-08-02,Mobile,Organic,India,Free
100375,2026-09-02,Desktop,Organic,India,Free
100376,2026-07-11,Mobile,Paid Search,India,Free
100377,2026-08-05,Mobile,Referral,India,Free
100378,2026-08-03,Mobile,Referral,US,Free
100379,2026-08-08,Mobile,Organic,India,Free
100380,2026-09-07,Mobile,Referral,UK,Free
100381,2026-07-24,Mobile,Paid Search,India,Free
100382,2026-07-01,Desktop,Paid Social,Canada,Free
100383,2026-07-07,Mobile,Referral,India,Free
100384,2026-07-18,Desktop,Paid Search,India,Free
100385,2026-07-03,Mobile,Paid Search,India,Free
100386,2026-07-15,Mobile,Referral,India,Free
100387,2026-08-16,Mobile,Paid Social,Australia,Free
100388,2026-09-05,Mobile,Referral,Canada,Free
100389,2026-08-01,Mobile,Organic,India,Free
100390,2026-07-09,Mobile,Paid Search,India,Free
100391,2026-08-11,Mobile,Referral,India,Free
100392,2026-07-27,Desktop,Paid Search,India,Free
100393,2026-07-19,Mobile,Paid Social,India,Free
100394,2026-07-24,Mobile,Referral,India,Free
100395,2026-08-25,Mobile,Organic,US,Free
100396,2026-07-29,Mobile,Paid Search,UK,Pro Trial
100397,2026-08-15,Mobile,Paid Social,India,Free
100398,2026-09-03,Desktop,Paid Social,US,Free
100399,2026-07-02,Desktop,Paid Social,Australia,Pro Trial
100400,2026-07-25,Desktop,Organic,UK,Free
100401,2026-08-28,Desktop,Paid Search,India,Free
100402,2026-08-06,Desktop,Paid Social,US,Free
100403,2026-08-12,Desktop,Organic,India,Pro Trial
100404,2026-08-17,Mobile,Paid Search,Australia,Free
100405,2026-08-13,Mobile,Paid Social,US,Free
100406,2026-07-02,Mobile,Paid Search,India,Free
100407,2026-08-16,Desktop,Organic,India,Free
100408,2026-08-21,Mobile,Organic,India,Free
100409,2026-07-28,Desktop,Paid Social,UK,Pro Trial
100410,2026-08-05,Mobile,Content,US,Free
100411,2026-07-23,Mobile,Referral,UK,Free
100412,2026-08-31,Mobile,Organic,Australia,Free
100413,2026-08-25,Mobile,Paid Social,UK,Free
100414,2026-07-26,Mobile,Paid Social,India,Free
100415,2026-07-31,Mobile,Paid Social,UK,Free
100416,2026-08-27,Mobile,Paid Social,India,Free
100417,2026-08-16,Desktop,Paid Social,India,Free
100418,2026-08-29,Mobile,Referral,India,Free
100419,2026-07-28,Desktop,Content,US,Free
100420,2026-07-03,Mobile,Organic,India,Free
100421,2026-08-20,Desktop,Referral,India,Free
100422,2026-07-19,Mobile,Referral,UK,Pro Trial
100423,2026-07-18,Desktop,Paid Search,India,Pro Trial
100424,2026-08-22,Mobile,Referral,Australia,Free
100425,2026-07-05,Mobile,Organic,US,Free
100426,2026-08-28,Mobile,Paid Search,India,Free
100427,2026-07-04,Desktop,Organic,India,Pro Trial
100428,2026-07-31,Mobile,Organic,UK,Free
100429,2026-09-01,Desktop,Organic,India,Free
100430,2026-07-01,Mobile,Content,Canada,Free
100431,2026-08-30,Mobile,Organic,Canada,Pro Trial
100432,2026-08-14,Mobile,Paid Search,India,Free
100433,2026-07-14,Mobile,Paid Social,US,Free
100434,2026-08-25,Mobile,Paid Search,India,Free
100435,2026-08-24,Mobile,Content,Australia,Pro Trial
100436,2026-09-04,Mobile,Organic,UK,Free
100437,2026-07-07,Mobile,Paid Social,India,Free
100438,2026-08-18,Mobile,Organic,India,Free
100439,2026-07-04,Desktop,Content,UK,Free
100440,2026-08-08,Desktop,Organic,Canada,Free
100441,2026-08-25,Mobile,Organic,Australia,Free
100442,2026-07-05,Mobile,Organic,UK,Free
100443,2026-07-31,Mobile,Referral,India,Pro Trial
100444,2026-07-27,Mobile,Referral,US,Free
100445,2026-08-16,Mobile,Organic,India,Free
100446,2026-08-25,Desktop,Referral,India,Pro Trial
100447,2026-08-11,Mobile,Paid Social,India,Free
100448,2026-08-24,Desktop,Referral,India,Free
100449,2026-07-27,Mobile,Organic,US,Free
100450,2026-09-02,Mobile,Paid Social,India,Free
100451,2026-09-05,Mobile,Organic,India,Pro Trial
100452,2026-07-22,Mobile,Paid Search,India,Pro Trial
100453,2026-08-07,Desktop,Paid Social,US,Free
100454,2026-08-14,Mobile,Organic,US,Free
100455,2026-08-19,Mobile,Organic,India,Free
100456,2026-08-15,Desktop,Paid Search,US,Free
100457,2026-08-25,Desktop,Paid Search,India,Free
100458,2026-07-18,Mobile,Organic,Canada,Free
100459,2026-09-01,Mobile,Referral,US,Free
100460,2026-08-17,Mobile,Paid Search,US,Free
100461,2026-07-23,Desktop,Paid Social,India,Free
100462,2026-08-10,Mobile,Referral,India,Free
100463,2026-08-21,Mobile,Referral,Canada,Free
100464,2026-09-04,Mobile,Referral,UK,Free
100465,2026-08-15,Mobile,Organic,Australia,Free
100466,2026-08-23,Desktop,Paid Search,India,Free
100467,2026-08-02,Mobile,Paid Social,US,Pro Trial
100468,2026-08-22,Desktop,Organic,India,Free
100469,2026-07-05,Mobile,Paid Social,Canada,Free
100470,2026-07-30,Desktop,Organic,US,Free
100471,2026-07-01,Mobile,Paid Search,Australia,Free
100472,2026-07-03,Desktop,Content,Australia,Pro Trial
100473,2026-08-17,Desktop,Paid Social,Australia,Free
100474,2026-07-23,Mobile,Referral,UK,Free
100475,2026-08-23,Mobile,Paid Search,India,Free
100476,2026-08-13,Desktop,Organic,India,Free
100477,2026-08-22,Desktop,Organic,India,Free
100478,2026-07-11,Mobile,Content,India,Free
100479,2026-07-09,Mobile,Paid Search,India,Free
100480,2026-08-09,Mobile,Organic,India,Free
100481,2026-08-26,Mobile,Paid Social,US,Free
100482,2026-09-06,Mobile,Organic,Canada,Pro Trial
100483,2026-07-17,Desktop,Organic,India,Pro Trial
100484,2026-07-08,Desktop,Paid Social,Australia,Free
100485,2026-07-17,Mobile,Organic,India,Free
100486,2026-07-03,Mobile,Paid Social,India,Free
100487,2026-07-05,Mobile,Organic,UK,Pro Trial
100488,2026-09-05,Mobile,Content,India,Pro Trial
100489,2026-07-30,Desktop,Paid Social,Canada,Free
100490,2026-09-02,Mobile,Paid Social,Australia,Free
100491,2026-07-25,Mobile,Organic,India,Free
100492,2026-09-03,Mobile,Referral,US,Free
100493,2026-07-05,Mobile,Organic,Canada,Free
100494,2026-07-22,Mobile,Organic,US,Free
100495,2026-07-28,Desktop,Referral,Canada,Free
100496,2026-08-14,Desktop,Paid Search,Australia,Free
100497,2026-07-28,Mobile,Organic,Canada,Free
100498,2026-09-03,Mobile,Content,India,Free
100499,2026-07-26,Mobile,Referral,Australia,Free
100500,2026-09-06,Mobile,Paid Search,India,Pro Trial
100501,2026-07-06,Mobile,Referral,India,Free
100502,2026-07-01,Mobile,Paid Social,India,Free
100503,2026-08-15,Desktop,Organic,US,Free
100504,2026-07-18,Desktop,Referral,UK,Free
100505,2026-08-09,Mobile,Referral,UK,Pro Trial
100506,2026-07-24,Mobile,Organic,India,Free
100507,2026-09-05,Desktop,Content,Canada,Pro Trial
100508,2026-08-22,Desktop,Paid Search,India,Free
100509,2026-07-25,Mobile,Organic,US,Pro Trial
100510,2026-07-03,Mobile,Content,UK,Pro Trial
100511,2026-08-20,Mobile,Content,Australia,Free
100512,2026-08-30,Desktop,Paid Social,India,Pro Trial
100513,2026-08-05,Desktop,Paid Search,India,Free
100514,2026-07-26,Desktop,Referral,UK,Free
100515,2026-08-11,Mobile,Paid Search,India,Pro Trial
100516,2026-08-28,Desktop,Paid Search,US,Free
100517,2026-08-21,Mobile,Paid Search,India,Free
100518,2026-07-06,Desktop,Paid Search,India,Free
100519,2026-08-24,Mobile,Paid Search,US,Pro Trial
100520,2026-08-05,Desktop,Paid Social,Canada,Pro Trial
100521,2026-08-10,Desktop,Content,India,Free
100522,2026-07-05,Mobile,Paid Search,India,Free
100523,2026-07-28,Mobile,Organic,India,Free
100524,2026-07-09,Desktop,Organic,India,Free
100525,2026-09-04,Desktop,Paid Search,Australia,Pro Trial
100526,2026-07-21,Mobile,Organic,US,Free
100527,2026-07-03,Desktop,Organic,UK,Free
100528,2026-08-16,Desktop,Content,India,Free
100529,2026-07-09,Mobile,Paid Social,Canada,Free
100530,2026-07-22,Mobile,Organic,India,Free
100531,2026-07-12,Desktop,Referral,India,Free
100532,2026-09-03,Mobile,Content,India,Free
100533,2026-07-11,Desktop,Content,India,Pro Trial
100534,2026-08-03,Mobile,Organic,US,Free
100535,2026-07-28,Mobile,Referral,India,Free
100536,2026-08-01,Mobile,Paid Social,US,Free
